,title,link
39,《读书》首发 | 黄德海：呦呦鹿鸣——《诗经》的“观”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136181&idx=1&sn=470405f6e5af0214c309f66f34398df4&chksm=845a89c0b32d00d642c7f69a388f0b8378d0af552965cb4c1d1f1b979efbd80894b6bd6f04eb#rd
40,新刊速递：2018年第6期目录+封面,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136175&idx=1&sn=ec605e903e30fee9ca1e7a8092f6557f&chksm=845a89dab32d00cc897b8c3e725f9a7ba9570f5790a6a92d5ae73711b24b45a5b392314782fe#rd
41,《读书》首发 | 李零：说晋楚争霸（下）,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136174&idx=1&sn=00ba9b382ffa741fd07c391a7f909456&chksm=845a89dbb32d00cd21cefa332d1a710e038d2c202c9ea3fbc41aedbbc3c9d6577dabf7170bab#rd
42,活动丨第三届“书城杯”全国散文大赛暨第三届“书城杯”安徽省少年散文大赛征文启事,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136174&idx=2&sn=1f18b8fcf4acacb8c5b4a0eb41166094&chksm=845a89dbb32d00cd37403f02501959b6100b4c9d8d667722038249c275316ce8646274c6b1ca#rd
43,读书与自学 | 王太庆：读懂康德,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136153&idx=1&sn=3898922bb9e2561ed53294dee62bbc5e&chksm=845a89ecb32d00fa4a49e7da4c6cd62848b19acc613935c374657cb9a14fc7a14bab20556ee2#rd
44,“我们仨都没有虚度此生”| 杨绛先生逝世两周年纪念,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136153&idx=2&sn=864c5bbf07dd1c6d6bb54157d7835936&chksm=845a89ecb32d00fa42fe2d5b584db5c1282c3f64d671908bd40723b5a2708dad0621bb854a15#rd
45,新刊 | 张源：《斐多》里的笑与自杀,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136128&idx=1&sn=a829fcb5b1ddd6fcb634b1851a976563&chksm=845a89f5b32d00e3cecb5d5b31a464fec5c3b004d4d24d1c8087f17e73dbff8a3c8b449cc209#rd
46,新刊 | 刘宗迪：怪物是如何炼成的,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136116&idx=1&sn=6c677a217475351d35b285295be4e47c&chksm=845a8981b32d0097489908c373e2a4808eb6ed902fa844e2b0b369c68ac41495c65362085b38#rd
47,读书与自学 | 陈乐民：莱布尼茨和“儒学”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136063&idx=1&sn=658239667b816620df70d9c505bc4801&chksm=845a894ab32d005c17f23a4e3a09d19257b4b47830ef110c7fe71fbf2d5b6db1fa641f7e99b2#rd
48,新刊 | 张西平：交错的文化史，互动的中西方,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136025&idx=1&sn=f4ad91336de73b00d1bd69b67ba77165&chksm=845a896cb32d007a41a04c1e0f27994b2841746bc624e4cf5b62c340cdf3f5467dafe06f5c82#rd
49,新刊 | 张绍欣：法律地理学视野中的康乾舆地测绘,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136021&idx=1&sn=c2ed2552b0dfdb995c7feb7309707e28&chksm=845a8960b32d00760104a9b8f14f3096e708ecc7efc0f2c0fbc708b85328a0d0f926feabad3f#rd
50,读书与自学 | 杜小真：由虚无到希望——读萨特的《存在与虚无》,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135994&idx=1&sn=4d7778cd5d60f53847a47e45f6966ec7&chksm=845a890fb32d00192330dff2729191d0b033a4bb6911ef18159ccc589936643cf3ebea2b8129#rd
51,新刊 | 杜华：“地下铁路”与美国的激进主义传统,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135982&idx=1&sn=13c38e0a63d566eeeb2cab303be6613b&chksm=845a891bb32d000d93300ac32017b752f61b76c7ff1de3a3b27da9b31872fc8673b326382538#rd
52,新刊 | 杨俊杰 ：“弄丢”了的丝绸之路与李希霍芬的推演,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135963&idx=1&sn=fe2cc1b0e21035c1cb1a588f31d47236&chksm=845a892eb32d0038586b4d83405431f1b4e9adb8893d8f6e85ff48f05abdf7493fec2268efb4#rd
53,“接地气”的吴昌硕,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135963&idx=2&sn=b722611bf7c987f23934aa45cf421ad5&chksm=845a892eb32d00385c816314d4755ae2ef4fcfaa93f20de8f48058eaacf58adb0367779d2ac4#rd
54,纪念 | 聂锦芳：“理解马克思并不容易！”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135957&idx=1&sn=e0ac4cc5a0d0301b2f0ce95f1817e4d6&chksm=845a8920b32d00365f5887bd26d45ebf4d45eeb5f6920ae9f674c4c39736ba8bb69a2cad1c5b#rd
