,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
37,2020,2,2020-2,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,979.0,979.0,4.0,979.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第1期
38,2020,3,2020-3,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1017.0,1017.0,2.0,1017.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第2期
39,2020,4,2020-4,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,1844.0,922.0,2.0,1046.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第4期☀《东岳论丛》2020年第3期
40,2020,5,2020-5,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,2020,6,2020-6,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1131.0,1131.0,5.0,1131.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第5期
42,2020,7,2020-7,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,2.0,4.0,2.0,4.0,4.0,3430.0,1715.0,2.0,2061.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第7期☀《东岳论丛》2020年第6期
43,2020,8,2020-8,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.0,1771.0,0.0,1771.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第8期
44,2020,9,2020-9,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,2020,10,2020-10,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,1621.0,1621.0,5.0,1621.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第9期
46,2020,11,2020-11,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1310.0,1310.0,4.0,1310.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第10期
47,2020,12,2020-12,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1400.0,1400.0,1.0,1400.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年第11期
